full_text;cleaned;cleaned_token;count;sentiment
LRT Jabodebek Sudah Layani 7 Juta Pengguna Sejak Enam Bulan Beroperasi https://t.co/VcrlNgjLuO;lrt jabodebek layani juta pengguna enam beroperasi;['lrt', 'jabodebek', 'layani', 'juta', 'pengguna', 'enam', 'beroperasi'];0;netral
6 Bulan Beroperasi, LRT Jabodebek Sudah Layani 7 Juta Penumpang https://t.co/w5RAdtkGFb #TempoBisnis;beroperasi lrt jabodebek layani juta penumpang tempobisnis;['beroperasi', 'lrt', 'jabodebek', 'layani', 'juta', 'penumpang', 'tempobisnis'];0;netral
Redesain Manggarai udah telat.  Saatnya rencana ini dihidupkan lagi guys: LRT KPBU Joglo - Pulogebang by Pembangunan Jaya  Sayangnya berpotongan dengan LRT Jabodebek  Sumber: thread LRT SSCI https://t.co/XPTdEp3X5l;redesain manggarai telat rencana dihidupkan guys lrt kpbu joglo pulogebang by pembangunan jaya sayangnya berpotongan lrt jabodebek sumber thread lrt ssci;['redesain', 'manggarai', 'telat', 'rencana', 'dihidupkan', 'guys', 'lrt', 'kpbu', 'joglo', 'pulogebang', 'by', 'pembangunan', 'jaya', 'sayangnya', 'berpotongan', 'lrt', 'jabodebek', 'sumber', 'thread', 'lrt', 'ssci'];-1;negatif
LRT Jabodebek Sudah Layani 7,2 Juta Pengguna, Tarif Promo Masih Berlaku hingga Akhir Maret https://t.co/aGuYJa7mtG;lrt jabodebek layani juta pengguna tarif promo hingga maret;['lrt', 'jabodebek', 'layani', 'juta', 'pengguna', 'tarif', 'promo', 'hingga', 'maret'];0;netral
KAI mencatat sejak beroperasi lebih dari 6 bulan lalu, LRT Jabodebek telah melayani 7.253.325 pengguna. https://t.co/pEOrXuoYMN;kai mencatat beroperasi lrt jabodebek melayani pengguna;['kai', 'mencatat', 'beroperasi', 'lrt', 'jabodebek', 'melayani', 'pengguna'];0;netral
Lrt @lrtjabodebek nextnya nanti semoga bisa ampe jam 10 malam ya min perjalanan akhir;lrt nextnya semoga ampe jam malam min perjalanan;['lrt', 'nextnya', 'semoga', 'ampe', 'jam', 'malam', 'min', 'perjalanan'];1;positif
Impressive bener naik LRT kali ini, bener bener seamless diguyur ujan dikit dikit @lrtjabodebek https://t.co/4VNz08EXQo;impressive bener lrt bener bener seamless diguyur ujan dikit dikit;['impressive', 'bener', 'lrt', 'bener', 'bener', 'seamless', 'diguyur', 'ujan', 'dikit', 'dikit'];0;netral
LRT Jabodebek telah melayani 7.253.325 penumpang sejak beroperasi lebih dari 6 bulan lalu. #bisnisupdate #update #bisnis #text https://t.co/hjzVUMIOZ0;lrt jabodebek melayani penumpang beroperasi bisnisupdate update bisnis text;['lrt', 'jabodebek', 'melayani', 'penumpang', 'beroperasi', 'bisnisupdate', 'update', 'bisnis', 'text'];0;netral
Beroperasi 6 Bulan Lebih, LRT Jabodebek Sudah Layani 7 Juta Pengguna  Selengkapnya: https://t.co/GIhjPWishP https://t.co/jXj8vsVAeP;beroperasi lrt jabodebek layani juta pengguna selengkapnya;['beroperasi', 'lrt', 'jabodebek', 'layani', 'juta', 'pengguna', 'selengkapnya'];0;netral
@txttransportasi @PT_Transjakarta @PT_Transjakarta   3. NAMBAH CAPEK apalagi TANPA KEJELASAN APAPUN gua denger dari temen LIFT SENGAJA DIMATIIN kalo pagi. Kan bab1, gak mikirin yg udah berumur apa.  Gua sih begitu tau langsung pindah moda jadi motor pribadi. Temen gua langsung beralih ke LRT @lrtjabodebek;nambah capek kejelasan apapun denger temen lift sengaja dimatiin pagi bab mikirin berumur tau langsung pindah moda motor pribadi temen langsung beralih lrt;['nambah', 'capek', 'kejelasan', 'apapun', 'denger', 'temen', 'lift', 'sengaja', 'dimatiin', 'pagi', 'bab', 'mikirin', 'berumur', 'tau', 'langsung', 'pindah', 'moda', 'motor', 'pribadi', 'temen', 'langsung', 'beralih', 'lrt'];-1;negatif
@ikhsan_ikhwan_ @sunnyirumekhai @indoflyer Lrt jabodebek malah kaga ada supirnya wkwkwk;lrt jabodebek kaga supirnya wkwkwk;['lrt', 'jabodebek', 'kaga', 'supirnya', 'wkwkwk'];0;netral
@lrtjabodebek halo hari ini LRT sampai jam brp yaa;halo lrt jam brp yaa;['halo', 'lrt', 'jam', 'brp', 'yaa'];0;netral
@kegblgnunfaedh Itu lrt yg  jabodebek apa yg di palembang ?;lrt jabodebek palembang;['lrt', 'jabodebek', 'palembang'];0;netral
@iamyourgeniee Selamat malam Kak, terkait perjalanan menggunakan moda transportasi LRT silakan dapat mention atau DM silakan mention atau DM @lrtjabodebek ya. Trims.;selamat malam kak terkait perjalanan moda transportasi lrt silakan mention dm silakan mention dm trims;['selamat', 'malam', 'kak', 'terkait', 'perjalanan', 'moda', 'transportasi', 'lrt', 'silakan', 'mention', 'dm', 'silakan', 'mention', 'dm', 'trims'];0;netral
Halo min @lrtjabodebek untuk pembelian tiket dimana? Atau bisa pakai flazz?;halo min pembelian tiket pakai flazz;['halo', 'min', 'pembelian', 'tiket', 'pakai', 'flazz'];0;netral
@txttransportasi MRT warnanya biru karena? LRT Jakarta, LRT Jabodebek, Whoosh warnanya merah karena?;mrt warnanya biru lrt jakarta lrt jabodebek whoosh warnanya merah;['mrt', 'warna', 'nya', 'biru', 'lrt', 'jakarta', 'lrt', 'jabodebek', 'whoosh', 'warna', 'nya', 'merah'];0;netral
@babyrany iya transit lrt jabodebek sama lrt jakarta;transit lrt jabodebek lrt jakarta;['transit', 'lrt', 'jabodebek', 'lrt', 'jakarta'];0;netral
@txttransportasi Sebenernya gak jelek2 amat kalo warna ijonya diganti biru. Malah menurutku desainnya lebih oke dibanding lrt jabodebek;jelek warna ijonya diganti biru menurutku desainnya dibanding lrt jabodebek;['jelek', 'warna', 'ijonya', 'diganti', 'biru', 'menurut', 'ku', 'desain', 'nya', 'dibanding', 'lrt', 'jabodebek'];-1;negatif
@Chast89 @lrtjabodebek Kereta bandara &gt  dukuh atas. &gt  lrt halim;kereta bandara gt dukuh gt lrt halim;['kereta', 'bandara', 'gt', 'dukuh', 'gt', 'lrt', 'halim'];0;netral
@lrtjabodebek mohon info kalau dr soetta mau ke kcic halim naik lrt apa bisa?;mohon info dr soetta kcic halim lrt;['mohon', 'info', 'dr', 'soetta', 'kcic', 'halim', 'lrt'];0;netral
Nih, ada kabar baik buat kamu, para pengguna LRT Jabodebek yang suka pulang malam atau lembur dadakan! Mulai 16 Januari, LRT Jabodebek bikin penyesuaian baru dengan memperpanjang waktu layanan operasi. #LayananLRTJabodebekDiperpanjang https://t.co/fqnfQlSSaX;nih kabar pengguna lrt jabodebek suka pulang malam lembur dadakan januari lrt jabodebek bikin penyesuaian memperpanjang layanan operasi layananlrtjabodebekdiperpanjang;['nih', 'kabar', 'pengguna', 'lrt', 'jabodebek', 'suka', 'pulang', 'malam', 'lembur', 'dadakan', 'januari', 'lrt', 'jabodebek', 'bikin', 'penyesuaian', 'memperpanjang', 'layanan', 'operasi', 'layananlrtjabodebekdiperpanjang'];0;netral
@lrtjabodebek min mau ke Bekasi Trade Center turun di halte mana?;min bekasi trade center turun halte;['min', 'bekasi', 'trade', 'center', 'turun', 'halte'];0;netral
hei @CommuterLine @lrtjabodebek kalian kalo mau sok2an layanan integrasi paling ga petugas masing2 stasiun dibriefing kek buat kasih informasi yang sama ke customer.  lumayan lho jalannya dari gate stasiun sudirman ke gate lrt, taunya musti balik lagi karena informasinya beda;hei sokan layanan integrasi petugas stasiun dibriefing kek kasih informasi customer lumayan lho jalannya gate stasiun sudirman gate lrt taunya musti informasinya beda;['hei', 'sokan', 'layanan', 'integrasi', 'petugas', 'stasiun', 'dibriefing', 'kek', 'kasih', 'informasi', 'customer', 'lumayan', 'lho', 'jalan', 'nya', 'gate', 'stasiun', 'sudirman', 'gate', 'lrt', 'tau', 'nya', 'musti', 'informasi', 'nya', 'beda'];-1;negatif
nyampe langsung lrt-an ke jakabaring. fyi gue belum pernah naek lrt jakarta atau jabodebek, tp udah pernah jajal lrt sumsel ???? https://t.co/xBlyqlMhpM;nyampe langsung lrtan jakabaring fyi naek lrt jakarta jabodebek tp jajal lrt sumsel????;['nyampe', 'langsung', 'lrtan', 'jakabaring', 'fyi', 'naek', 'lrt', 'jakarta', 'jabodebek', 'tp', 'jajal', 'lrt', 'sumsel????'];0;netral
@anaklarangan_ true dat, lrt jabodebek jg jadwal nya kelamaan;true dat lrt jabodebek jg jadwal;['true', 'dat', 'lrt', 'jabodebek', 'jg', 'jadwal'];-1;negatif
@pavloveas Cuma berlaku buat yg dioperasiin pemprov, TJ, MRT sama LRT Jakarta. LRT Jabodebek agak kemahalan.;dioperasiin pemprov tj mrt lrt jakarta lrt jabodebek kemahalan;['dioperasiin', 'pemprov', 'tj', 'mrt', 'lrt', 'jakarta', 'lrt', 'jabodebek', 'kemahalan'];-1;negatif
@lrtjabodebek Halo min, mau tanya info jam kereta cawang - halim ya. Makasih;halo min info jam kereta cawang halim;['halo', 'min', 'info', 'jam', 'kereta', 'cawang', 'halim'];0;netral
Lebih enak naik LRT Jabodebek, apalagi tarif promonya diperpanjang, lho! Sekarang LRT Jabodebek juga melayani lebih cepat dengan headway cuma 6-12 menit aja!  Jangan sampai terlewat promonya, ya!  #MerangkaiRel  #MenghubungkanIndonesia https://t.co/1MXxwEVLvp;enak lrt jabodebek tarif promonya diperpanjang lho lrt jabodebek melayani cepat headway menit terlewat promonya merangkairel menghubungkanindonesia;['enak', 'lrt', 'jabodebek', 'tarif', 'promonya', 'diperpanjang', 'lho', 'lrt', 'jabodebek', 'melayani', 'cepat', 'headway', 'menit', 'terlewat', 'promonya', 'merangkairel', 'menghubungkanindonesia'];2;positif
@lrtjabodebek @PT_Transjakarta ga minat di perbaiki apah lift Integrasi ke LRT cawang ? Kesian bgt ibu hamil , lansia harus naik tangga. https://t.co/l3ExfEgh1z;minat perbaiki apah lift integrasi lrt cawang kesian hamil lansia tangga;['minat', 'perbaiki', 'apah', 'lift', 'integrasi', 'lrt', 'cawang', 'kesian', 'hamil', 'lansia', 'tangga'];0;netral
@lrtjabodebek cepet dong bikin eskalator turun dari JPO Cikoko ke St Cawang;cepet bikin eskalator turun jpo cikoko st cawang;['cepet', 'bikin', 'eskalator', 'turun', 'jpo', 'cikoko', 'st', 'cawang'];-1;negatif
setelah dirasa-rasa: MRT Jakarta laju dan ngeremnya kyk naik mobil automatic/CVT. LRT Jabodebek kyk mobil manual.;dirasarasa mrt jakarta laju ngeremnya kyk mobil automaticcvt lrt jabodebek kyk mobil manual;['dirasarasa', 'mrt', 'jakarta', 'laju', 'ngeremnya', 'kyk', 'mobil', 'automaticcvt', 'lrt', 'jabodebek', 'kyk', 'mobil', 'manual'];-1;negatif
Windy (34) mengaku masih kebingungan dengan rute Biskita Trans Bekasi Patriot yang terintegrasi dengan LRT Jabodebek Stasiun Bekasi Barat. https://t.co/6dBtmpcFNJ;windy mengaku kebingungan biskita trans bekasi patriot terintegrasi lrt jabodebek stasiun bekasi barat;['windy', 'mengaku', 'kebingungan', 'biskita', 'trans', 'bekasi', 'patriot', 'terintegrasi', 'lrt', 'jabodebek', 'stasiun', 'bekasi', 'barat'];0;netral
jaktim ada lrt jakarta (bukan jabodebek)  jaksel ada mrt;jaktim lrt jakarta jabodebek jaksel mrt;['jaktim', 'lrt', 'jakarta', 'jabodebek', 'jaksel', 'mrt'];0;netral
LRT Jabodebek dan pemandangannya sebelum masuk stasiun Dukuh Atas.  Sudah mencoba, atau Arfriends adalah pengguna harian LRT ini? ??  #fotosepur #kai121 #keretaapi #instrail #argothrottle https://t.co/cFfAOd0xfD;lrt jabodebek pemandangannya masuk stasiun dukuh mencoba arfriends pengguna harian lrt?? fotosepur kai keretaapi instrail argothrottle;['lrt', 'jabodebek', 'pemandangan', 'nya', 'masuk', 'stasiun', 'dukuh', 'mencoba', 'arfriends', 'pengguna', 'harian', 'lrt??', 'fotosepur', 'kai', 'keretaapi', 'instrail', 'argothrottle'];1;positif
Sejak dioperasikan pada Agustus 2023 hingga saat ini, Light Rapid Transit (LRT) Jabodebek telah mengangkut sebanyak 7 juta penumpang. https://t.co/CqfZ4yacvQ #InvestorDaily #investasi #Saham;dioperasikan agustus hingga light rapid transit lrt jabodebek mengangkut juta penumpang investordaily investasi saham;['dioperasikan', 'agustus', 'hingga', 'light', 'rapid', 'transit', 'lrt', 'jabodebek', 'mengangkut', 'juta', 'penumpang', 'investordaily', 'investasi', 'saham'];0;netral
Ketemu @ndarikhaa di @lrtjabodebek ??;ketemu??;['ketemu??'];0;netral
Ini @lrtjabodebek nggak mau nurunin harga gitu wkwkwwk.;nggak nurunin harga wkwkwwk;['nggak', 'nurunin', 'harga', 'wkwkwwk'];0;netral
Panas bat ini kereta Cibubur Line euy @lrtjabodebek kok bisa beda jauh sama yg Bekasi Line sih;panas bat kereta cibubur line euy beda bekasi line;['panas', 'bat', 'kereta', 'cibubur', 'line', 'euy', 'beda', 'bekasi', 'line'];-1;negatif
@briandito Sekarang udah ada LRT Jabodebek. Jadi menurut gue ga terlalu jauh  Dulu pas belom ada sih emg asli jaug bgt wkwkwk;lrt jabodebek belom emg asli jaug wkwkwk;['lrt', 'jabodebek', 'belom', 'emg', 'asli', 'jaug', 'wkwkwk'];1;positif
Tolong dong di perbaiki @lrtjabodebek;tolong perbaiki;['tolong', 'perbaiki'];-1;negatif
"Setelah waktu itu fomo pengen naik LRT Jabodebek, eh skrg gw tiba2 fomo pengen naik MRT Jakarta njirrr. Sebenernya udh sering klo lg cangs di JKT tapii gw kali ini cuma pengen dengerin announcement the next station is... ?? Senayan M*stercard??""""";fomo lrt jabodebek eh skrg gw fomo mrt jakarta njirrr udh klo lg cangs jkt tapii gw dengerin announcement the next station is?? senayan mstercard??;['fomo', 'lrt', 'jabodebek', 'eh', 'skrg', 'gw', 'fomo', 'mrt', 'jakarta', 'njirrr', 'udh', 'klo', 'lg', 'cangs', 'jkt', 'tapii', 'gw', 'dengerin', 'announcement', 'the', 'next', 'station', 'is??', 'senayan', 'mstercard??'];1;positif
Biskita Trans Bekasi Patriot Berpotensi Tingkatkan Pengguna LRT Jabodebek https://t.co/M0Q5vlb3OF #News #Berita #Kabar #Popular #klikwarta #InfoMasyarakat #viral #beritaterkini;biskita trans bekasi patriot berpotensi tingkatkan pengguna lrt jabodebek news berita kabar popular klikwarta infomasyarakat viral beritaterkini;['biskita', 'trans', 'bekasi', 'patriot', 'berpotensi', 'tingkatkan', 'pengguna', 'lrt', 'jabodebek', 'news', 'berita', 'kabar', 'popular', 'klikwarta', 'infomasyarakat', 'viral', 'beritaterkini'];0;netral
Pengguna Naik 16%, KAI Perpanjang Penerapan Penambahan Waktu Layanan Operasi LRT Jabodebek  KAI memperpanjang layanan LRT Jabodebek hingga Februari, dengan waktu operasional hingga 23.03 WIB.  #KAIPerpanjangLayananLRTJabodebek #keretaapikita https://t.co/4U1KSpkCS3;pengguna kai perpanjang penerapan penambahan layanan operasi lrt jabodebek kai memperpanjang layanan lrt jabodebek hingga februari operasional hingga wib kaiperpanjanglayananlrtjabodebek keretaapikita;['pengguna', 'kai', 'perpanjang', 'penerapan', 'penambahan', 'layanan', 'operasi', 'lrt', 'jabodebek', 'kai', 'memperpanjang', 'layanan', 'lrt', 'jabodebek', 'hingga', 'februari', 'operasional', 'hingga', 'wib', 'kaiperpanjanglayananlrtjabodebek', 'keretaapikita'];1;positif
@rdhaldnsyh @OwenUdinson Halo Kak @rdhaldnsyh , selamat malam. Jika mimin cek untuk foto tersebut merupakan area pelayanan dari LRT Jabodebek ya. Terkait tag dan informasinya bisa disampaikan ke mimin LRT Jabodebek nya ya di akun @lrtjabodebek . Terima kasih?? (FR);halo kak selamat malam mimin cek foto area pelayanan lrt jabodebek terkait tag informasinya mimin lrt jabodebek akun terima kasih?? fr;['halo', 'kak', 'selamat', 'malam', 'mimin', 'cek', 'foto', 'area', 'pelayanan', 'lrt', 'jabodebek', 'terkait', 'tag', 'informasi', 'nya', 'mimin', 'lrt', 'jabodebek', 'akun', 'terima', 'kasih??', 'fr'];0;netral
Berubah! Cek Jadwal Promo dan Keberangkatan Awal-Akhir LRT Jabodebek https://t.co/j8jrNRbWgz;berubah cek jadwal promo keberangkatan awalakhir lrt jabodebek;['berubah', 'cek', 'jadwal', 'promo', 'keberangkatan', 'awalakhir', 'lrt', 'jabodebek'];0;netral
@dokterparu @Bluebirdgroup @lrtjabodebek @CommuterLine @PT_Transjakarta Sy pernah bbrp-x ngalamin yg kyk gitu. Ngarep ada porter yg berbayar kyk di pasar tapi yg ada cuma satpam yg ngeliatin doang. ??.   Border free itu pe-er serius &amp  kudu dituntasin ngga pake lama oleh para pengelola transportasi publik tsb. ??;sy bbrpx ngalamin kyk ngarep porter berbayar kyk pasar satpam ngeliatin?? border free peer amp kudu dituntasin ngga pake pengelola transportasi publik tsb??;['sy', 'bbrpx', 'ngalamin', 'kyk', 'ngarep', 'porter', 'berbayar', 'kyk', 'pasar', 'satpam', 'ngeliatin??', 'border', 'free', 'peer', 'amp', 'kudu', 'dituntasin', 'ngga', 'pake', 'pengelola', 'transportasi', 'publik', 'tsb??'];0;netral
#Commuters biasanya naik LRT Jabodebek buat bepergian ke mana sih? Komen di bawah yuk! ?? https://t.co/QB3O6Rc8Aq;commuters lrt jabodebek bepergian komen yuk??;['commuters', 'lrt', 'jabodebek', 'bepergian', 'komen', 'yuk??'];0;netral
Siapa yang sejauh ini selalu setia naik #LRTJabodebek? ????? https://t.co/jioe1KMKUa;setia lrtjabodebek?????;['setia', 'lrtjabodebek?????'];0;netral
Pengguna Naik 16%, KAI Perpanjang Penerapan Penambahan Waktu Layanan Operasi LRT Jabodebek KAI memperpanjang layanan LRT Jabodebek hingga Februari, dengan waktu operasional hingga 23.03 WIB. Perpanjangan penambahan waktu #KAIPerpanjangLayananLRTJabodebek #keretaapikita https://t.co/UxHj7QIxvY;pengguna kai perpanjang penerapan penambahan layanan operasi lrt jabodebek kai memperpanjang layanan lrt jabodebek hingga februari operasional hingga wib perpanjangan penambahan kaiperpanjanglayananlrtjabodebek keretaapikita;['pengguna', 'kai', 'perpanjang', 'penerapan', 'penambahan', 'layanan', 'operasi', 'lrt', 'jabodebek', 'kai', 'memperpanjang', 'layanan', 'lrt', 'jabodebek', 'hingga', 'februari', 'operasional', 'hingga', 'wib', 'perpanjangan', 'penambahan', 'kaiperpanjanglayananlrtjabodebek', 'keretaapikita'];0;netral
@Earthwithoutyou @catuaries Tol Becakayu, Kereta Cepat Jakarta-Bandung, LRT Jabodebek  Semua jalan tol yg dibangun sesuai username anda (Country Road)  ??????;tol becakayu kereta cepat jakartabandung lrt jabodebek jalan tol dibangun sesuai username country road??????;['tol', 'becakayu', 'kereta', 'cepat', 'jakartabandung', 'lrt', 'jabodebek', 'jalan', 'tol', 'dibangun', 'sesuai', 'username', 'country', 'road??????'];0;netral
Pengguna Naik 16%, KAI Perpanjang Penerapan Penambahan Waktu Layanan Operasi LRT Jabodebek  #KAIPerpanjangLayananLRTJabodebek #keretaapikita https://t.co/Pa4Xpv9VRk;pengguna kai perpanjang penerapan penambahan layanan operasi lrt jabodebek kaiperpanjanglayananlrtjabodebek keretaapikita;['pengguna', 'kai', 'perpanjang', 'penerapan', 'penambahan', 'layanan', 'operasi', 'lrt', 'jabodebek', 'kaiperpanjanglayananlrtjabodebek', 'keretaapikita'];0;netral
Min @lrtjabodebek @KAI121 ini kereta apa ya https://t.co/BtGcwJGS7D;min kereta;['min', 'kereta'];0;netral
Komis VI DPR Apresiasi LRT Jabodebek Persingkat Waktu Tunggu Kereta  https://t.co/4gEZhKAsAz;komis vi dpr apresiasi lrt jabodebek persingkat tunggu kereta;['komis', 'vi', 'dpr', 'apresiasi', 'lrt', 'jabodebek', 'persingkat', 'tunggu', 'kereta'];1;positif
@MePujie Selamat pagi Kak. Mohon maaf, sehubungan dengan adanya penyesuaian tarif LRT Jabodebek, sehingga mulai 1 Desember 2023 setiap hari Senin-Jumat pemesanan tiket belum bisa dilayani melalui aplikasi Access by KAI. Pemesanan LRT Jabodebek melalui aplikasi Access by KAI akan dibuka�;selamat pagi kak mohon maaf sehubungan penyesuaian tarif lrt jabodebek desember seninjumat pemesanan tiket dilayani aplikasi access by kai pemesanan lrt jabodebek aplikasi access by kai dibuka�;['selamat', 'pagi', 'kak', 'mohon', 'maaf', 'sehubungan', 'penyesuaian', 'tarif', 'lrt', 'jabodebek', 'desember', 'seninjumat', 'pemesanan', 'tiket', 'dilayani', 'aplikasi', 'access', 'by', 'kai', 'pemesanan', 'lrt', 'jabodebek', 'aplikasi', 'access', 'by', 'kai', 'dibuka�'];0;netral
@irmakeyourdream Untuk Stasiun LRT Cawang merupakan area pelayanan dari LRT Jabodebek. Terkait hal tersebut bisa disampaikan ke mimin @lrtjabodebek  ya Kak. Terima kasih ?? (FZ) (2);stasiun lrt cawang area pelayanan lrt jabodebek terkait hal mimin kak terima kasih?? fz;['stasiun', 'lrt', 'cawang', 'area', 'pelayanan', 'lrt', 'jabodebek', 'terkait', 'hal', 'mimin', 'kak', 'terima', 'kasih??', 'fz'];0;netral
LRT Velodrome - JIS itu ditunda sampai 2023an karena keputusan pusat, bukan DKI 2017 - 2022. Pusat masih belum fix kelanjutan velodrome apakah nyambung ke Halim ( LRT jabodebek/KCIC) atau Manggarai.;lrt velodrome jis ditunda an keputusan pusat dki pusat fix kelanjutan velodrome nyambung halim lrt jabodebekkcic manggarai;['lrt', 'velodrome', 'jis', 'ditunda', 'an', 'keputusan', 'pusat', 'dki', 'pusat', 'fix', 'kelanjutan', 'velodrome', 'nyambung', 'halim', 'lrt', 'jabodebekkcic', 'manggarai'];0;netral
LRT Jabodebek Tingkatkan Jumlah Perjalanan Harian per 1 Maret  https://t.co/2X9X97eCWg;lrt jabodebek tingkatkan perjalanan harian maret;['lrt', 'jabodebek', 'tingkatkan', 'perjalanan', 'harian', 'maret'];0;netral
@ari_aditya @lrtjabodebek Memang seru traveling menggunakan kendaraan umum, apalagi LRT Jabodebek nyaman Jadi pengen ke TMII, @DKIJakarta ??  @traveloka;seru traveling kendaraan lrt jabodebek nyaman tmii??;['seru', 'traveling', 'kendaraan', 'lrt', 'jabodebek', 'nyaman', 'tmii??'];1;positif
@AriatiSoedjana Betul, @Bluebirdgroup juga sangat membantu. Apalagi klo lagi bawa koper perabotan lenong, tapi berhubungan sama stasiun/halte @lrtjabodebek @CommuterLine @PT_Transjakarta yang gak border free. Bawa koper kok disuruh naik turun anak tangga.;membantu klo bawa koper perabotan lenong berhubungan stasiunhalte border free bawa koper disuruh turun anak tangga;['membantu', 'klo', 'bawa', 'koper', 'perabotan', 'lenong', 'berhubungan', 'stasiunhalte', 'border', 'free', 'bawa', 'koper', 'disuruh', 'turun', 'anak', 'tangga'];0;netral
LRT Jabodebek Sudah Angkut 7,1 Juta Penumpang Sejak Awal Beroperasi https://t.co/vsg4nGktwX;lrt jabodebek angkut juta penumpang beroperasi;['lrt', 'jabodebek', 'angkut', 'juta', 'penumpang', 'beroperasi'];0;netral
*zooming-in ke logo*  Yak, tidak heran. ??  @KPK_RI coba investigasi deh ini pengadaan lift dan eskalator di stasiun kereta ini gimana kok yang kepilih merk butut gini yang sparepart-nya susah dicari.  Stasiun LRT Jabodebek juga pake si apel ini, lho.;zoomingin logo yak heran?? coba investigasi deh pengadaan lift eskalator stasiun kereta gimana kepilih merk butut sparepartnya susah dicari stasiun lrt jabodebek pake apel lho;['zoomingin', 'logo', 'yak', 'heran??', 'coba', 'investigasi', 'deh', 'pengadaan', 'lift', 'eskalator', 'stasiun', 'kereta', 'gimana', 'kepilih', 'merk', 'butut', 'sparepartnya', 'susah', 'dicari', 'stasiun', 'lrt', 'jabodebek', 'pake', 'apel', 'lho'];-2;negatif
